StoreID,City,State,Date Last Winter Freeze,Date First Winter Freeze,Growing Season Length,Precip Jan,Precip Feb,Precip Mar,Precip Apr,Precip May,Precip Jun,Precip Jul,Precip Aug,Precip Sep,Precip Oct,Precip Nov,Precip Dec,Rain Jan,Rain Feb,Rain Mar,Rain Apr,Rain May,Rain Jun,Rain Jul,Rain Aug,Rain Sep,Rain Oct,Rain Nov,Rain Dec,Snow Jan,Snow Feb,Snow Mar,Snow Apr,Snow May,Snow Jun,Snow Jul,Snow Aug,Snow Sep,Snow Oct,Snow Nov,Snow Dec,Temp Jan,Temp Feb,Temp Mar,Temp Apr,Temp May,Temp Jun,Temp Jul,Temp Aug,Temp Sep,Temp Oct,Temp Nov,Temp Dec,Elevation,Longitude,Latitude,LastWinterFreezeDiff,FirstWinterFreezeDiff
3772,Florida City,FL,2009-02-02,2010-01-14,361,1.192,1.272,4.202,2.588,5.432,8.994,5.75,4.912,10.58,2.944,2.656,2.052,1.192,1.272,4.202,2.588,5.432,8.994,5.75,4.912,10.58,2.944,2.656,2.052,0,0,0,0,0,0,0,0,0,0,0,0,65.98,66.69,70.07,73.21,77.35,80.36,81.42,81.5,80.88,77.28,72.51,67.88,6.29,-80.6493508598463,25.360857974521,-80,100
3785,Miami,FL,2009-01-18,2010-02-03,362,1.012,2.182,2.738,4.568,4.256,12.356,5.502,7.712,10.848,2.72,1.656,1.834,1.012,2.182,2.738,4.568,4.256,12.356,5.502,7.712,10.848,2.72,1.656,1.834,0,0,0,0,0,0,0,0,0,0,0,0,68.1,69.1,72.4,75.7,79.6,82.4,83.7,83.6,82.4,78.8,74.4,69.9,6.56,-80.3112003943692,25.7366408424207,-95,120
3770,Miami Gardens,FL,2009-01-28,2010-01-13,365,0.996,2.344,2.818,3.856,4.006,9.9,4.958,7.25,9.696,2.814,1.616,2.442,0.996,2.344,2.818,3.856,4.006,9.9,4.958,7.25,9.696,2.814,1.616,2.442,0,0,0,0,0,0,0,0,0,0,0,0,69.44,70.33,73.68,76.49,80.39,83.16,84.82,84.78,83.63,80.18,75.86,71.36,6.79,-80.2454863543458,25.9493147298631,-85,99
3762,Hallandale Beach,FL,2009-01-26,2010-01-13,365,0.982,2.494,2.85,2.634,3.558,6.152,4.1,6.542,8.082,2.93,1.51,3.242,0.982,2.494,2.85,2.634,3.558,6.152,4.1,6.542,8.082,2.93,1.51,3.242,0,0,0,0,0,0,0,0,0,0,0,0,67.63,68.2,71.03,74.2,78.2,81.17,82.63,82.87,81.93,78.7,74.17,69.57,4.59,-80.1483269455365,25.9856975192659,-87,99
3725,Port Isabel,TX,2009-02-07,2009-12-28,363,1.32,1.046,1.26,1.016,2.018,4.812,3.556,1.406,7.106,2.46,1.118,1.72,1.32,1.038,1.26,1.016,2.018,4.812,3.556,1.406,7.106,2.46,1.118,1.72,0,0.076,0,0,0,0,0,0,0,0,0,0,59.69,62.44,68.37,73.2,78.61,82.27,83.47,83.49,81.17,76.2,69.24,61.44,8.5,-97.3037071223846,26.0255172923666,-75,83
3606,San Benito,TX,2009-02-21,2009-12-17,362,1.094,0.738,0.734,1.092,3.102,3.972,2.858,1.322,5.36,2.102,0.68,1.632,1.094,0.738,0.734,1.092,3.102,3.972,2.858,1.322,5.36,2.102,0.68,1.632,0,0,0,0,0,0,0,0,0,0,0,0,58.67,62.18,68.83,73.74,79.33,83.02,84.41,84.49,81.27,74.82,67.28,60.46,34.25,-97.6236466474849,26.1058120767256,-61,72
3739,Naples,FL,2009-02-05,2010-01-02,361,0.652,0.802,1.842,1.824,2.406,6.612,4.976,5.906,8.81,1.424,0.506,1.584,0.652,0.802,1.842,1.824,2.406,6.612,4.976,5.906,8.81,1.424,0.506,1.584,0,0,0,0,0,0,0,0,0,0,0,0,64.3,65.1,68.7,72.5,77.2,80.8,82,82.3,81.5,77.2,71.8,66.3,5.02,-81.7423171842587,26.1179883171629,-77,88
3765,Lauderdale Lakes,FL,2009-01-26,2010-01-13,362,0.98,2.494,2.852,2.616,3.554,6.094,4.086,6.536,8.06,2.932,1.508,3.258,0.98,2.494,2.852,2.616,3.554,6.094,4.086,6.536,8.06,2.932,1.508,3.258,0,0,0,0,0,0,0,0,0,0,0,0,67.42,68.04,71.1,74.33,78.41,81.39,82.79,83.09,82.13,78.75,74.07,69.35,10.05,-80.2272420104481,26.1501665102745,-87,99
3626,Mcallen,TX,2009-02-16,2009-12-21,365,1.148,0.684,0.39,1.316,1.218,4.864,3.434,2.146,2.84,1.42,0.238,1.81,1.148,0.684,0.39,1.316,1.218,4.864,3.434,2.146,2.84,1.42,0.238,1.81,0,0,0,0,0,0,0,0,0,0,0,0,59.2,62.86,69.87,75.05,80.32,84.13,85.5,85.9,82.42,75.89,67.81,60.68,112.65,-98.2505036926225,26.1572959173174,-66,76
3612,Weslaco,TX,2009-02-19,2009-12-18,362,1.376,0.878,0.63,1.254,1.374,4.198,3.102,2.034,3.26,1.606,0.51,1.662,1.376,0.878,0.63,1.254,1.374,4.198,3.102,2.034,3.26,1.606,0.51,1.662,0,0,0,0,0,0,0,0,0,0,0,0,58.53,62.19,68.93,74.16,79.55,83.25,84.67,84.77,81.37,74.89,67.45,60.45,65.88,-97.9871588739459,26.1600846305593,-63,73
