feature	feature	split_score	gain_score
Hospital_day	Hospital_day	0.9650808960816823	1.3813677701951423
Alarm_HR	Alarm_HR	-23.025850929940457	-23.025850929940457
Alarm_RR	Alarm_RR	1.000000082690371e-10	-0.1712279806261868
Alarm_fall	Alarm_fall	-23.025850929940457	-23.025850929940457
Weight_ED	Weight_ED	-0.40546510795816443	-1.0238658261748126
max_SBP_daily	max_SBP_daily	-23.025850929940457	-23.025850929940457
min_SBP_daily	min_SBP_daily	-0.6061358033869823	-1.2395194092735295
count_SBP_daily	count_SBP_daily	-23.025850929940457	-23.025850929940457
max_DBP_daily	max_DBP_daily	-1.2039728039926028	-2.379516718092224
min_DBP_daily	min_DBP_daily	-1.2039728039926028	-1.4455240851105666
count_DBP_daily	count_DBP_daily	-23.025850929940457	-23.025850929940457
max_HR_daily	max_HR_daily	-0.2513144281523346	-0.8946523790409
min_HR_daily	min_HR_daily	-0.10536051554671516	-0.03626186647598661
count_HR_daily	count_HR_daily	-23.025850929940457	-23.025850929940457
max_RR_daily	max_RR_daily	-1.0986122883681098	-1.775509769577563
min_RR_daily	min_RR_daily	-0.6931471803599453	-0.6999842405026707
count_RR_daily	count_RR_daily	-23.025850929940457	-23.025850929940457
max_SBP_ED	max_SBP_ED	1.000000082690371e-10	-0.45302051589831027
min_SBP_ED	min_SBP_ED	1.0116009117148435	1.1249042616186267
count_SBP_ED	count_SBP_ED	-23.025850929940457	-23.025850929940457
max_DBP_ED	max_DBP_ED	-0.8109302159913288	-2.0842205560455933
min_DBP_ED	min_DBP_ED	-1.7047480916884252	-2.0814399833586656
count_DBP_ED	count_DBP_ED	-23.025850929940457	-23.025850929940457
max_Pulse_ED	max_Pulse_ED	-1.0986122883681098	-2.051995551261959
min_Pulse_ED	min_Pulse_ED	-0.2513144281523346	-0.981546201457577
count_Pulse_ED	count_Pulse_ED	-23.025850929940457	-23.025850929940457
max_Resp_Rate	max_Resp_Rate	-1.6094379119341002	-3.475634179993968
min_Resp_Rate	min_Resp_Rate	-0.18232155667395458	-0.7859133456502225
count_Resp_Rate	count_Resp_Rate	1.000000082690371e-10	1.4722873035388964
max_Temp_daily	max_Temp_daily	-0.3566749437958753	-0.027443180720030696
count_Temp_daily	count_Temp_daily	-23.025850929940457	-23.025850929940457
max_Temperature_ED	max_Temperature_ED	-2.1972245764362195	-2.9981671975228834
count_Temperature_ED	count_Temperature_ED	-23.025850929940457	-23.025850929940457
count_RA_or_Sup_O2_ED	count_RA_or_Sup_O2_ED	-0.2231435511892097	-0.3560935767895602
min_SpO2_daily	min_SpO2_daily	-1.9459101483553134	-3.2185602194818803
count_SpO2_daily	count_SpO2_daily	-23.025850929940457	-23.025850929940457
min_SpO2_ED	min_SpO2_ED	-0.18232155667395458	0.10637442251165094
count_SpO2_ED	count_SpO2_ED	-23.025850929940457	-23.025850929940457
New_Medication_ED	New_Medication_ED	-23.025850929940457	-23.025850929940457
max_RA_or_Sup_O2_ED	max_RA_or_Sup_O2_ED	-23.025850929940457	-23.025850929940457
New_med_yn	New_med_yn	-1.3862943607198905	-2.2623331914133127
New_med_dosechange_0	New_med_dosechange_0	-23.025850929940457	-23.025850929940457
New_med_dosechange_2	New_med_dosechange_2	-0.6931471803599453	-1.0973161870586958
PC1	PC1	0.14310084372733992	-0.11056176341765227
PC2	PC2	-0.575364144725784	-1.2215206164026784
PC3	PC3	-0.2231435511892097	-0.34021036758481826
PC4	PC4	0.13353139271202258	-0.40755064720942585
PC5	PC5	-1.1631508094856808	-1.9256948768475688
PC6	PC6	-0.348306694126549	-0.9736258500901319
